xmin,ymin,xmax,ymax,class,file,width,height
2459,1274,2530,1329,missing_hole,01_missing_hole_01,3034,1586
1613,334,1679,396,missing_hole,01_missing_hole_01,3034,1586
1726,794,1797,854,missing_hole,01_missing_hole_01,3034,1586
2584,232,2650,298,missing_hole,01_missing_hole_02,3034,1586
2366,803,2406,860,missing_hole,01_missing_hole_02,3034,1586
1506,802,1559,856,missing_hole,01_missing_hole_02,3034,1586
2651,487,2700,531,missing_hole,01_missing_hole_03,3034,1586
1342,749,1393,796,missing_hole,01_missing_hole_03,3034,1586
2082,582,2135,620,missing_hole,01_missing_hole_03,3034,1586
1619,225,1673,278,missing_hole,01_missing_hole_04,3034,1586
337,754,386,814,missing_hole,01_missing_hole_04,3034,1586
217,1009,277,1067,missing_hole,01_missing_hole_04,3034,1586
804,298,860,365,missing_hole,01_missing_hole_05,3034,1586
279,294,353,374,missing_hole,01_missing_hole_05,3034,1586
1068,1051,1110,1107,missing_hole,01_missing_hole_05,3034,1586
1613,392,1677,460,missing_hole,01_missing_hole_05,3034,1586
1446,480,1504,542,missing_hole,01_missing_hole_06,3034,1586
1326,1203,1386,1269,missing_hole,01_missing_hole_06,3034,1586
2070,800,2140,860,missing_hole,01_missing_hole_06,3034,1586
1737,340,1793,394,missing_hole,01_missing_hole_07,3034,1586
1390,1042,1470,1122,missing_hole,01_missing_hole_07,3034,1586
2580,238,2648,294,missing_hole,01_missing_hole_07,3034,1586
2757,700,2817,767,missing_hole,01_missing_hole_08,3034,1586
2637,1336,2700,1391,missing_hole,01_missing_hole_08,3034,1586
482,1125,539,1183,missing_hole,01_missing_hole_08,3034,1586
1222,620,1293,689,missing_hole,01_missing_hole_09,3034,1586
482,1118,539,1180,missing_hole,01_missing_hole_09,3034,1586
162,482,222,542,missing_hole,01_missing_hole_09,3034,1586
1624,402,1673,454,missing_hole,01_missing_hole_10,3034,1586
331,751,388,816,missing_hole,01_missing_hole_10,3034,1586
866,623,915,682,missing_hole,01_missing_hole_10,3034,1586
2073,685,2146,752,missing_hole,01_missing_hole_11,3034,1586
1500,736,1559,800,missing_hole,01_missing_hole_11,3034,1586
482,843,562,916,missing_hole,01_missing_hole_11,3034,1586
1062,1047,1117,1112,missing_hole,01_missing_hole_12,3034,1586
2633,932,2702,989,missing_hole,01_missing_hole_12,3034,1586
2460,1220,2528,1276,missing_hole,01_missing_hole_12,3034,1586
